CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
2GO,"2GO Group, Inc.",O,9.59,"2,462,146,316","23,611,983,170",Services,Transportation Services,January-December,"1,020,000,000","7,866,000,000","6,295,000,000","330,000,000","15,768,000,000","2,702,000,000","8,918,000,000","2,835,000,000","11,990,000,000","3,715,000,000","3,778,000,000","23,861,000,000","-948,000,000","-58,000,000","-1,396,000,000","-1,394,000,000","2,058,632,000","702,189,000","-1,429,650,000","-1,242,150,000","3,985,500,000","-526,033,000",,,"49,426,000"
AAA,Asia Amalgamated Holdings Corporation,S,1.61,"799,999,981","1,287,999,969",Holding Firms,Holding Firms,January-December,,"300,000",,,"4,000,000",,"24,100,000",,"24,100,000","-20,100,000","-20,100,000",0,,,"-761,067","-761,067",0,"-961,733",0,"769,333",,,,,0
AB,"Atok-Big Wedge Co., Inc.",O,10,"2,545,000,000","25,450,000,000",Mining and Oil,Mining,January-December,"34,643,500","49,745,700","9,100","605,187,900","656,482,100",,"2,148,400",,"2,148,400","654,333,700","654,333,700",,"-5,424,600","-12,864,100","-16,680,600","-16,680,600",0,"-24,796,887","-2,800","-2,800",,,,,
ABA,"AbaCore Capital Holdings, Inc.",O,0.86,"3,185,934,029","2,739,903,265",Holding Firms,Holding Firms,January-December,"79,000,000",,"584,000,000","8,924,000,000","11,792,000,000","167,000,000",,,"3,027,000,000","8,645,000,000","8,766,000,000","24,862,000","-105,337,000","-21,319,200","3,212,194,600","3,224,137,300","12,131,314","144,540,500","-38,803,400","130,875,000","1,883,630","17,947,000","-46,600,000","-607,533,200","-283,641,600"
ABG,Asiabest Group International Inc.,O,11.36,"300,000,000","3,408,000,000",Holding Firms,Holding Firms,January-December,"265,608,500","268,406,500",,,"268,406,500",,"1,326,800",,"1,326,800","267,079,700","267,079,700",,"3,570,600",,"-1,692,500","-1,692,500",,"-928,992",,"253,772",,,,,
ABS,ABS-CBN Corporation,O,17.04,"861,971,968","14,688,002,335",Services,Media,January-December,"20,729,000,000","39,129,000,000","27,871,000,000","892,000,000","85,654,000,000","549,000,000","16,365,000,000","26,747,000,000","48,428,000,000","37,196,000,000","37,226,000,000","42,668,000,000","4,050,000,000","-31,000,000","2,848,000,000","2,696,000,000","5,376,000,000","7,485,000,000","-5,327,000,000","-12,279,000,000","4,999,000,000","-6,161,000,000","-55,400,000","-679,000,000","-1,896,000,000"
AC,Ayala Corporation,O,740,"626,683,595","463,745,860,300",Holding Firms,Holding Firms,January-December,"82,033,000,000","452,069,000,000","108,411,000,000","514,507,000,000","1,296,262,000,000","65,428,000,000","315,887,000,000","365,739,000,000","748,974,000,000","345,311,000,000","547,288,000,000","279,756,000,000","47,109,000,000","22,266,000,000","54,117,000,000","77,880,000,000","16,150,000,000","57,688,000,000","-19,611,000,000","-71,154,000,000","176,225,900,000","-159,056,800,000","-3,192,000,000","-11,706,000,000","10,565,000,000"
ACE,Acesite (Phils.) Hotel Corporation,O,1.42,"344,747,520","489,541,478",Services,Hotel & Leisure,January-December,"64,000,000","651,000,000","922,000,000","22,000,000","2,231,000,000",,"895,000,000",,"1,106,000,000","1,125,000,000","1,125,000,000","9,621,000","-216,631,000",,"-377,476,600","-377,476,600","49,579,040","-125,985,426","-10,300,000","-184,217,065","185,300,000",,,,"185,300,000"
ACEPH,"AC Energy Philippines, Inc.",O,2.15,"7,521,774,922","21,361,840,778",Industrial,"Electricity, Energy, Power & Water",January-December,"3,601,000,000","7,164,000,000","5,597,000,000","4,079,000,000","20,247,000,000","684,000,000","3,474,000,000","5,078,000,000","9,966,000,000","10,303,000,000","10,281,000,000","15,344,000,000","-377,000,000","62,000,000","-1,064,000,000","-1,073,000,000","402,561,000","32,831,000","-168,692,000","-750,243,000","923,025,000","-2,421,940,000",,"2,344,000","1,351,583,000"
ACEX,"ACE Enexor, Inc",O,8.1,"250,000,001","3,125,000,013",Mining and Oil,Oil,January-December ,"57,140,000","57,290,000","20,000",,"90,850,000",,"13,560,000",,"14,170,000","76,680,000","76,680,000","10,000","-16,870,000",,"-18,570,000","-20,270,000",0,"-15,830,000","-4,150,000","20,520,000",,,,,
ACR,"Alsons Consolidated Resources, Inc.",O,1.23,"6,291,500,000","7,738,545,000",Industrial,"Electricity, Energy, Power & Water",January-December,"2,833,000,000","8,089,000,000","28,359,000,000","4,749,000,000","43,994,000,000","2,488,000,000","6,359,000,000","21,641,000,000","29,053,000,000","11,424,000,000","14,942,000,000","6,314,000,000","1,812,000,000","33,000,000","286,000,000","954,000,000","901,173,600","3,141,423,200","-3,648,117,700","-3,520,454,800","6,351,720,600","-6,452,465,900",,"-124,260,000","273,399,400"
AEV,"Aboitiz Equity Ventures, Inc.",O,52.95,"5,632,792,557","298,256,365,893",Holding Firms,Holding Firms,January-December,"43,875,000,000","114,187,000,000","226,659,000,000","155,965,000,000","575,610,000,000","59,906,000,000","95,700,000,000","248,856,000,000","365,541,000,000","170,853,000,000","210,069,000,000","202,319,000,000","32,879,000,000","8,815,000,000","20,641,000,000","28,393,000,000","11,180,000,000","40,257,000,000","-13,320,000,000","-57,110,000,000","46,596,000,000","-22,399,000,000","-44,000,000","-7,435,000,000","10,311,000,000"
AGI,"Alliance Global Group, Inc.",O,11.1,"9,822,021,779","109,024,441,747",Holding Firms,Holding Firms,January-December,"57,794,000,000","289,403,000,000","124,640,000,000","119,245,000,000","609,370,000,000","27,743,000,000","97,264,000,000","177,017,000,000","313,447,000,000","183,530,000,000","295,923,000,000","166,922,000,000","36,613,000,000","232,000,000","15,886,000,000","24,367,000,000","8,179,000,000","24,270,000,000","-9,200,000,000","-38,596,000,000","42,201,500,000","-30,658,000,000","-1,543,000,000","-1,498,000,000","13,484,000,000"
ALCO,Arthaland Corporation,O,0.83,"5,318,095,199","4,414,019,015",Property,Property,January-December,"647,000,000",,"272,000,000","6,971,000,000","16,262,000,000",,,"5,106,000,000","9,401,000,000","6,689,000,000","6,860,000,000","2,622,000,000","369,000,000",,"905,000,000","1,103,000,000","21,669,504","-2,926,715,000","-6,837,700","267,361,900","30,938,000","111,000,000",,"-221,592,500","2,592,434,900"
ALHI,"Anchor Land Holdings, Inc.",O,8.75,"1,040,001,000","9,100,008,750",Property,Property,January-December,"1,264,000,000","11,867,000,000","1,811,000,000","13,861,000,000","31,921,000,000","3,581,000,000","8,489,000,000","14,527,000,000","24,181,000,000","7,748,000,000","7,740,000,000","6,492,000,000","789,000,000",,"860,000,000","853,000,000","59,995,900","2,617,803,500","-737,061,600","-5,272,216,300","2,819,500,000","-3,041,700,000",,"-110,933,400","2,871,196,300"
ALI,"Ayala Land, Inc.",O,41.4,"14,719,962,101","609,406,430,981",Property,Property,January-December,"21,297,000,000",,"50,016,000,000","253,672,000,000","683,780,000,000","39,856,000,000",,"161,186,000,000","443,109,000,000","206,753,000,000","240,671,000,000","167,376,000,000","48,342,000,000","846,000,000","31,680,000,000","35,505,000,000","2,841,900,000","-8,657,000,000","-4,625,000,000","-2,029,000,000","127,587,800,000","-126,219,100,000","-482,900,000","-3,585,000,000","7,331,000,000"
ALLHC,AyalaLand Logistics Holdings Corp.,O,2.72,"6,301,591,987","17,140,330,205",Holding Firms,Holding Firms,January-December,"900,000,000",,"1,435,000,000","10,575,000,000","19,536,000,000",,,"1,691,000,000","8,489,000,000","10,895,000,000","11,047,000,000","4,616,000,000","874,000,000",,"738,000,000","865,000,000","205,480,000","1,374,412,000","140,361,000","-3,849,997,000","120,900,000",,,,"2,460,543,000"
ANI,"AgriNurture, Inc.",O,12.02,"1,018,274,088","12,239,654,538",Industrial,"Food, Beverage & Tobacco",January-December,"44,000,000","2,726,000,000","1,005,000,000","250,000,000","4,810,000,000","637,000,000","1,689,000,000","304,000,000","2,000,000,000","2,101,000,000","2,810,000,000","5,709,000,000","568,000,000",,"-24,000,000","52,000,000","171,178,500","-83,772,400","-354,152,900","58,544,300","1,165,900,000","-21,972,100",,,"94,866,200"
ANS,A. Soriano Corporation,O,6.39,"2,500,000,000","15,975,000,000",Holding Firms,Holding Firms,January-December,"13,216,000,000","16,371,000,000","2,537,000,000","2,309,000,000","22,865,000,000","394,000,000","1,757,000,000","265,000,000","2,628,000,000","19,710,000,000","20,238,000,000","9,620,000,000","1,196,000,000","-367,000,000","1,853,000,000","1,948,000,000","256,956,200","2,212,658,600","-277,863,200","-305,370,500","450,000,000","-633,176,600","-132,699,100","-309,476,400","-1,075,352,100"
AP,Aboitiz Power Corporation,O,33.3,"7,358,604,307","245,041,523,423",Industrial,"Electricity, Energy, Power & Water",January-December,"34,272,000,000","71,129,000,000","210,558,000,000","62,075,000,000","404,785,000,000","33,625,000,000","57,946,000,000","198,678,000,000","275,386,000,000","121,829,000,000","129,399,000,000","126,148,000,000","30,976,000,000","3,572,000,000","18,490,000,000","21,481,000,000","9,559,000,000","38,343,000,000","-9,306,000,000","-44,332,000,000","47,592,700,000","-28,666,000,000",,"-10,817,000,000","7,784,000,000"
APC,"APC Group, Inc.",O,0.44,"7,504,203,997","3,301,849,759",Services,Other Services,January-December,"144,000,000","154,000,000",0,"10,000,000","1,399,000,000",,"108,000,000",,"111,000,000","1,295,000,000","1,288,000,000","3,800,000","-4,694,400",,"-5,825,000","-5,843,300","4,463","-5,224,687",,"-511,923",,,,,
APL,"Apollo Global Capital, Inc.",O,0.047,"280,336,349,297","13,175,808,417",Services,Information Technology,January-December,"1,000,000","4,000,000",0,,"3,612,000,000","7,000,000","99,000,000",,"406,000,000","2,692,000,000","3,207,000,000",,"-13,204,500",,"-12,438,100","-15,045,400",0,"4,165,530","-27,090,554","-36,187,519","7,400,000","7,930,044",,,"39,563,661"
APO,Anglo Philippine Holdings Corporation,O,0.76,"3,003,302,538","2,282,509,929",Holding Firms,Holding Firms,January-December,"27,000,000","311,000,000","43,000,000","8,688,000,000","9,897,000,000","10,000,000","3,899,000,000","20,000,000","3,928,000,000","5,962,000,000","5,969,000,000","25,798,900","-86,111,500","-358,260,500","-418,068,800","-418,175,200","28,538,600","200,316,600","19,413,500","-203,077,400","-53,746,700","-19,356,700",,,"-37,930,700"
APX,"Apex Mining Co., Inc.",O,1.09,"6,227,887,491","6,788,397,365",Mining and Oil,Mining,January-December,"620,000,000","3,166,000,000","7,661,000,000","52,000,000","13,474,000,000","1,582,000,000","4,462,000,000","2,961,000,000","7,898,000,000","5,400,000,000","5,577,000,000","4,390,000,000","540,000,000","-14,000,000","140,000,000","140,000,000","1,179,178,600","1,325,931,000","-1,895,431,200","-1,875,478,900","1,195,800,000","-643,700,000",,,"996,141,200"
AR,Abra Mining and Industrial Corporation,O,0.0015,"199,294,584,200","298,941,876",Mining and Oil,Mining,January-December,0,"7,000,000","600,000,000",,"1,983,000,000",,"1,000,000",,"55,000,000","1,928,000,000","1,928,000,000",,"3,109,300",,"-3,364,700","-3,364,700","65,900,000","-2,545,333",,"-3,100,584","4,400,000",,,,"10,150,000"
ARA,"Araneta Properties, Inc.",O,1.54,"1,951,387,570","3,005,136,858",Property,Property,January-December,"12,000,000","760,388,099","9,000,000","1,047,000,000","1,998,000,000","58,000,000","123,738,868","55,000,000","238,000,000","1,760,000,000","1,760,000,000","65,287,600","-5,285,800",,"3,915,000","3,915,000","2,842,284","3,595,900","23,250,200","-9,873,700","4,000,000","-66,085,000",,,"-17,650,100"
AT,Atlas Consolidated Mining and Development Corporation,O,2.5,"3,559,532,774","8,898,831,935",Mining and Oil,Mining,January-December,"3,563,000,000","6,853,000,000","39,562,000,000","305,000,000","84,088,000,000","9,644,000,000","15,763,000,000","24,196,000,000","43,880,000,000","40,208,000,000","40,208,000,000","15,216,000,000","1,416,000,000","85,000,000","-982,000,000","-982,000,000","3,745,000,000","5,005,000,000","-1,739,000,000","-4,158,000,000","-2,667,000,000","-4,122,000,000",,,"16,000,000"
ATI,"Asian Terminals, Inc.",O,18.6,"2,000,000,000","37,200,000,000",Services,Transportation Services,January-December,"6,692,000,000","9,150,000,000","1,586,000,000","53,000,000","30,920,000,000","312,000,000","4,432,000,000","8,890,000,000","13,352,000,000","17,557,000,000","17,568,000,000","11,157,000,000","5,623,000,000","57,000,000","3,543,000,000","3,544,000,000","1,414,000,000","4,663,000,000","-2,757,000,000","-2,695,000,000",,"587,000,000",,"-1,125,000,000","-2,007,000,000"
ATN-AB,"ATN Holdings, Inc.",O,0.97,4500000000,4365000000,Holding Firms,Holding Firms,April-March,"15,000,000","40,000,000","13,000,000","3,460,000,000","3,517,000,000","83,000,000","108,000,000",,"1,401,000,000","2,116,000,000","2,116,000,000","13,862,600","-2,796,500","-3,649,600","-14,163,800","-14,163,800","4,389,400","-4,035,100","-3,891,100","-344,488,100","10,000,000","1,068,573",,,"356,075,100"
AUB,Asia United Bank Corporation,O,53.5,"485,310,538","25,964,113,783",Financials,Banks,January-December,,,"2,013,000,000","51,475,000,000","271,237,000,000","588,000,000",,"8,514,000,000","238,423,000,000","32,655,000,000","32,814,000,000","13,615,000,000","5,552,000,000",,"4,820,000,000","4,794,000,000","174,800,000","4,783,000,000","-417,000,000","-25,656,000,000","3,246,200,000","-1,203,300,000",,"-874,000,000","33,537,000,000"
AXLM,Axelum Resources Corp.,O,3.6,"4,000,000,000","14,400,000,000",Industrial,"Food, Beverage & Tobacco",January-December,"267,000,000","2,661,000,000","3,416,000,000","410,000,000","8,168,000,000","2,192,000,000","2,608,000,000","204,000,000","2,878,000,000","5,290,000,000","5,290,000,000","5,366,000,000","807,000,000",,"497,000,000","497,000,000","95,525,000","775,522,000","-267,505,000","-317,466,000","28,737,000","-623,000","-2,500,000","-50,000,000","-246,853,000"
BC-AB,Benguet Corporation,O,1.125,"615,771,183","692,742,581",Mining and Oil,Mining,January-December,"66,000,000","903,000,000","2,083,000,000","2,315,000,000","6,233,000,000","508,000,000","1,091,000,000",,"2,389,000,000","3,843,000,000","3,843,000,000","754,658,000","-207,867,000",,"147,469,000","147,469,000","63,738,000","91,679,000","-24,341,000","-13,917,000","10,000,000","-39,300,000",,,"-42,494,000"
BCOR,Berjaya Philippines Inc.,O,3.2,"4,341,280,855","13,892,098,736",Services,Casinos & Gaming,May-April,"856,000,000","9,993,000,000","4,617,000,000","2,850,000,000","19,081,000,000","4,083,000,000","7,769,000,000","2,702,000,000","10,541,000,000","8,526,000,000","8,540,000,000","31,100,000,000","472,000,000","-16,000,000","96,000,000","102,000,000","398,999,600","-543,519,000","-251,866,400","-164,314,000","638,800,000","-1,228,800,000",,,"-590,000,000"
BDO,"BDO Unibank, Inc.",O,156,"4,381,445,754","683,505,537,624",Financials,Banks,January-December,,,"34,730,000,000","441,316,000,000","3,092,180,000,000",,,"178,382,000,000","2,728,144,000,000","362,352,000,000","364,036,000,000","156,741,000,000","56,658,000,000","631,000,000","43,297,000,000","43,285,000,000","2,853,000,000","71,604,000,000","-4,060,000,000","-178,079,000,000","162,384,000,000","-130,648,000,000",,"-5,590,000,000","83,198,000,000"
BEL,Belle Corporation,O,1.7,"9,763,126,297","16,597,314,705",Property,Property,January-December,"4,046,000,000","11,678,000,000","396,000,000","24,606,000,000","44,560,000,000","3,363,000,000","6,351,000,000","3,627,000,000","13,879,000,000","27,392,000,000","30,681,000,000","7,827,000,000","3,738,000,000",,"2,401,000,000","2,731,000,000","990,000,000","4,006,000,000","-238,000,000","130,000,000","2,500,000,000","-907,700,000","93,000,000","-1,543,000,000","-2,479,000,000"
BH,"BHI Holdings, Inc.",O,1275,"499,987","637,483,425",Holding Firms,Holding Firms,January-December,"441,400",,,,"103,280,500",,,,"4,844,500","98,436,000","98,436,000","3,000,800","-86,100",,"-146,200","-146,200",,"210,700",,,,"-100,000",,,"-100,000"
BHI,"Boulevard Holdings, Inc.",S,0.053,"12,000,000,000","636,000,000",Services,Hotel & Leisure,June-May,"2,000,000","54,000,000","1,069,000,000","901,000,000","2,042,000,000","4,000,000","208,000,000",,"311,000,000","1,702,000,000","1,731,000,000","112,762,400","-49,091,800",,"-8,054,600","-33,327,300","48,067,800","-51,209,400","-3,723,900","-2,115,200",,,0,,"53,263,000"
BKR,Bright Kindle Resources & Investments Inc.,O,0.88,"1,528,474,000","1,345,057,120",Financials,Other Financial Institutions,January-December,0,,"42,000,000",,"2,604,000,000","1,672,000,000",,,"1,674,000,000","930,000,000","930,000,000",700,"-6,870,800","-107,190,700","-114,061,200","-114,061,200","1,484,581","79,700","-60,300","-60,300",,,,,
BLFI,"BDO Leasing and Finance, Inc.",O,3.16,"2,162,475,312","6,833,421,986",Financials,Other Financial Institutions,January-December,"264,000,000",,"1,934,000,000","3,553,000,000","32,464,000,000","21,494,000,000",,,"26,944,000,000","5,520,000,000","5,520,000,000","3,085,000,000","85,700,000",,"44,700,000","44,700,000","427,500,000","7,049,436,100","-452,333,300","458,143,300","172,614,900,000","-176,117,000,000",,"47,500","-7,463,463,400"
BLOOM,Bloomberry Resorts Corporation,O,10.32,"10,997,964,701","113,498,995,714",Services,Casinos & Gaming,January-December,"40,713,000,000","45,861,000,000","81,870,000,000","182,000,000","130,798,000,000","2,065,000,000","19,068,000,000","67,570,000,000","87,658,000,000","43,157,000,000","43,140,000,000","41,773,000,000","15,313,000,000",,"9,313,000,000","9,291,000,000","3,628,000,000","18,941,000,000","-4,687,000,000","-6,611,000,000","-1,294,000,000","-2,756,200,000","-209,000,000","-1,653,000,000","-5,498,000,000"
BMM,"Bogo-Medellin Milling Company, Inc.",O,101.2,"6,000,000","607,200,000",Industrial,"Food, Beverage & Tobacco",October-September,"84,909,000","154,607,000","139,926,000",,"307,900,000","16,000,000","129,194,000",,"129,456,000","178,444,000","178,444,000","340,883,000","-137,503,000",,"-126,344,000","-126,344,000","42,166,000","61,325,000","-18,200,000","-19,208,000","14,000,000","-10,000,000",,,"4,000,000"
BPI,Bank of the Philippine Islands,O,82.25,"4,507,071,644","370,706,642,719",Financials,Banks,January-December,,,"23,153,000,000","436,256,000,000","2,125,781,000,000",,,"156,396,000,000","1,854,571,000,000","267,855,000,000","271,210,000,000","98,864,000,000","37,379,000,000",,"28,099,000,000","28,378,000,000","2,590,500,000","50,490,000,000","-12,180,000,000","-179,035,000,000","65,904,000,000","-11,979,000,000",,"-8,108,000,000","123,810,000,000"
BRN,"A Brown Company, Inc.",O,0.7,"2,477,667,911","1,734,367,538",Property,Property,January-December,"213,000,000","2,967,000,000","899,000,000","1,645,000,000","5,843,000,000","571,000,000","1,205,000,000","597,000,000","1,905,000,000","3,933,000,000","3,938,000,000","760,602,000","240,866,500","330,702,600","408,701,800","408,699,400","12,127,300","-496,675,200","4,159,600","477,323,000","310,565,800","-787,054,100",,,"25,609,100"
BSC,Basic Energy Corporation,O,0.232,"2,797,392,714","648,995,110",Industrial,"Electricity, Energy, Power & Water",January-December,"55,000,000","128,000,000","37,000,000","422,000,000","700,000,000",,"11,000,000",,"38,000,000","671,000,000","662,000,000","13,911,100","-7,528,800","14,966,900","-6,778,400","-6,389,100","5,180,700","-97,310,700","-231,300","164,303,000",,,"-300,000",,"-267,200"
C,Chelsea Logistics and Infrastracture Holdings Corp.,O,5.4,"1,821,977,615","9,838,679,121",Services,Transportation Services,January-December,"556,000,000","5,137,000,000","20,278,000,000","2,009,000,000","33,948,000,000","4,969,000,000","9,816,000,000","11,015,000,000","20,978,000,000","12,790,000,000","12,970,000,000","6,649,000,000","819,000,000","-640,000,000","-557,000,000","-557,000,000","1,158,851,300","3,766,446,400","-3,340,357,700","-3,881,944,000","597,200,000","-442,900,000",,,"-109,005,600"
CA-AB,Concrete Aggregates Corporation,O,64.75,"27,466,449","1,778,452,573",Industrial,"Construction, Infra. & Allied Services",January-December,"173,821,600","189,936,700","59,986,100","90,481,600","341,765,900",,"14,444,500",,"38,109,200","303,656,700","303,656,700","52,947,600","9,820,600",,"34,356,400","34,356,400","439,200","30,879,100",,"1,073,644",,,,"-31,696,800","-31,696,800"
CAL,Calata Corporation,S,2.04,"570,340,679","1,163,494,985",Services,Retail,January-December,"160,700,000","1,698,000,000","409,200,000",,"2,648,000,000","703,500,000","957,500,000",,"986,400,000","1,655,200,000","1,661,600,000","2,369,700,000","387,800,000",,"146,200,000","146,300,000","22,000,000","-203,500,000","4,400,000","-149,600,000","-50,000,000","-36,100,000",,,"230,600,000"
CAT,"Central Azucarera de Tarlac, Inc.",O,17.98,"282,538,760","5,080,046,905",Industrial,"Food, Beverage & Tobacco",July-June,"171,000,000","2,478,000,000","1,574,000,000","556,000,000","5,756,000,000","993,000,000","1,308,000,000",,"1,815,000,000","3,940,000,000","3,940,000,000","1,210,575,800","161,737,800",,"344,367,600","344,367,600","136,034,300","296,066,300","-126,723,500","-268,740,600","147,500,000","-97,500,000",,"-49,815,800","82,100"
CDC,Cityland Development Corporation,O,0.87,"4,403,739,084","3,831,253,003",Property,Property,January-December,"2,546,000,000",,"66,000,000","3,043,000,000","10,702,000,000","1,153,000,000",,"5,000,000","2,082,000,000","7,523,000,000","8,620,000,000","2,292,844,100","909,783,900",,"694,532,600","788,029,200","46,697,201","-41,978,700","-4,118,600","1,104,421,200","4,368,600,000","-4,529,700,000",,"-215,853,900","109,948,100"
CEB,"Cebu Air, Inc.",O,83.8,"600,916,700","50,356,819,460",Services,Transportation Services,January-December,"21,578,000,000","29,563,000,000","121,680,000,000","1,222,000,000","158,581,000,000","11,632,000,000","40,927,000,000","67,748,000,000","116,064,000,000","42,518,000,000","42,518,000,000","83,702,000,000","12,657,000,000","125,000,000","7,943,000,000","7,943,000,000","13,635,000,000","25,057,000,000","-11,964,000,000","-5,236,000,000","6,775,000,000","-13,060,000,000","-175,000,000","-4,206,000,000","-10,666,000,000"
CEI,"Crown Equities, Inc.",O,0.186,"14,959,999,950","2,782,559,991",Property,Property,January-December,"683,000,000","939,000,000","258,000,000","1,045,000,000","2,370,000,000",,"162,000,000",,"190,000,000","2,013,000,000","2,181,000,000","241,300,000","62,487,100",,"97,926,400","142,630,800","16,519,800","-261,730,600","-3,851,800","228,947,800","35,000,000","-18,100,000",,,"50,372,800"
CEU,Centro Escolar University,O,7.05,"372,414,400","2,625,521,520",Services,Education,April-March,"211,000,000","825,000,000","4,809,000,000","152,000,000","5,917,000,000",,"1,058,000,000",,"1,687,000,000","4,224,000,000","4,230,000,000","1,361,042,300","15,654,400",,"11,955,600","14,904,200","95,483,600","158,424,700","-172,687,100","-138,692,500",,,,"-79,319,300","-79,319,300"
CHI,"Cebu Holdings, Incorporated",O,6.69,"2,156,756,631","14,428,701,861",Property,Property,January-December,"274,000,000",,"266,000,000","20,730,000,000","27,815,000,000","73,000,000",,"6,289,000,000","16,653,000,000","8,835,000,000","11,162,000,000","3,181,833,000","991,603,000","221,962,000","1,060,730,000","1,120,804,000","427,001,000","5,081,815,000","417,495,000","-5,042,151,000",,"-45,750,000",,"-321,762,000","-15,943,000"
CHIB,China Banking Corporation,O,25.1,"2,685,899,812","67,416,085,281",Financials,Banks,January-December,,,"8,108,000,000","241,470,000,000","953,697,000,000","26,518,000,000",,"37,536,000,000","860,843,000,000","92,841,000,000","92,854,000,000","45,628,000,000","10,905,000,000","101,000,000","9,254,000,000","9,261,000,000","544,900,000","13,184,000,000","-2,513,000,000","-132,339,000,000","204,849,000,000","-164,859,900,000",,"-2,364,000,000","123,195,000,000"
CHP,"Cemex Holdings Philippines, Inc.",O,1.64,"13,489,226,623","22,122,331,662",Industrial,"Construction, Infra. & Allied Services",January-December,"2,592,000,000","7,774,000,000","19,076,000,000","529,000,000","58,150,000,000","1,840,000,000","9,605,000,000","18,250,000,000","28,725,000,000","29,425,000,000","29,426,000,000","23,737,000,000","2,126,000,000",,"550,000,000","550,000,000","1,691,168,000","2,429,327,000","-2,357,583,000","-4,455,059,000","4,284,006,000","-318,293,000",,,"2,160,607,000"
CIC,Concepcion Industrial Corporation ,O,30.6,"403,218,091","12,338,473,585",Industrial,Electrical Components & Equipment,January-December,"1,897,000,000","8,570,000,000","1,190,000,000","146,000,000","11,340,000,000","61,000,000","4,188,000,000","477,000,000","5,020,000,000","4,991,000,000","6,320,000,000","14,814,000,000","2,066,000,000","7,000,000","883,000,000","1,396,000,000","309,046,000","2,257,639,000","-357,810,000","-383,759,000","225,000,000","-208,300,000","-59,513,000","-792,506,000","-1,133,737,000"
CIP,"Chemical Industries of the Philippines, Inc.",O,169,"10,296,601","1,740,125,569",Industrial,Chemicals,January-December,"20,000,000","25,000,000","1,197,000,000","122,000,000","1,383,000,000",,"149,000,000",,"456,000,000","841,000,000","927,000,000","8,563,800","-2,877,200",,"-2,424,800","2,177,500","1,251,300","-20,419,300",0,"16,849,700",,,,"1,400","1,400"
CLI,"Cebu Landmasters, Inc.",O,4.6,"1,659,180,000","7,632,228,000",Property,Property,January-December,"831,000,000","22,492,690,865","1,947,000,000","6,385,000,000","32,654,000,000","1,519,000,000","5,774,178,644","13,171,000,000","19,715,000,000","7,342,000,000","12,940,000,000","9,088,000,000","3,460,000,000","4,000,000","2,384,000,000","2,886,000,000","56,699,518","-3,065,000,000","-170,000,000","-1,197,000,000","5,355,700,000","-2,929,500,000","-60,000,000","-333,000,000","4,294,000,000"
CNPF,"Century Pacific Food, Inc.",O,15.36,"3,542,258,595","54,409,092,019",Industrial,"Food, Beverage & Tobacco",January-December,"1,515,000,000","22,620,000,000","6,717,000,000",,"33,157,000,000","2,734,000,000","10,676,000,000","3,095,000,000","14,479,000,000","18,678,000,000","18,678,000,000","38,767,000,000","4,064,000,000",,"3,073,000,000","3,073,000,000","854,000,000","2,178,000,000","-1,669,000,000","-1,616,000,000","2,854,300,000","-1,445,500,000",,"-638,000,000","70,000,000"
COAL,Coal Asia Holdings Incorporated,O,0.27,"4,000,000,004","1,080,000,001",Mining and Oil,Mining,January-December,"9,000,000","11,000,000","158,000,000","1,000,000","3,940,000,000",,"51,000,000",,"56,000,000","3,884,000,000","3,884,000,000",,"-4,542,700",,"-6,710,800","-6,710,800",0,"-600,000","1,700,000","-5,900,000",,0,,,0
COL,"COL Financial Group, Inc.",O,18.46,"476,000,000","8,786,960,000",Financials,Other Financial Institutions,January-December,"9,308,000,000",,"92,000,000","417,000,000","10,794,000,000",,,,"9,026,000,000","1,746,000,000","1,768,000,000","1,205,814,200","738,683,300",,"521,797,100","521,597,100","21,309,692","647,626,400","-47,060,700","-24,552,200",,,,"-404,600,000","-404,600,000"
COSCO,"Cosco Capital, Inc.",O,6.42,"7,238,453,664","46,470,872,523",Holding Firms,Holding Firms,January-December,"25,250,000,000","57,741,000,000","46,380,000,000","11,685,000,000","143,389,000,000","945,000,000","11,500,000,000","26,666,000,000","39,803,000,000","74,125,000,000","103,586,000,000","167,641,000,000","10,749,000,000","-350,000,000","13,017,000,000","17,056,000,000","3,326,000,000","16,284,000,000","-5,011,000,000","3,881,000,000","10,514,400,000","-2,100,000,000","-153,000,000","-1,853,000,000","-1,917,000,000"
